measure,metric,user_id,value
diversity,base,19878024,0.21328885139160073
diversity,base,16817910,0.277290405851822
diversity,base,32939895,0.20278272633953937
diversity,base,47780976,0.21908025952418453
diversity,base,49628822,0.1647004937758829
diversity,base,40258923,0.31124050462005864
diversity,base,4137262,0.31630300315554083
diversity,base,7986456,0.19947308906516306
diversity,base,24928115,0.261097361684453
diversity,base,42899781,0.2919513406340114
diversity,base,49457410,0.10009475220360622
diversity,base,30994908,0.22699715922499672
diversity,base,7584008,0.24099720745694175
diversity,base,49574441,0.21950269170637557
diversity,base,24866626,0.18978183960817915
diversity,base,47862618,0.1835843281968494
diversity,base,11433462,0.20278272633953937
diversity,base,30051358,0.28190936497176755
diversity,base,21923447,0.261042691436171
diversity,base,6395291,0.20278272633953937
diversity,base,49533056,0.21498821338932456
diversity,base,11771671,0.1832215492548296
diversity,base,30146431,0.28471879902392044
diversity,base,14913726,0.3007543421167872
diversity,base,11139379,0.21357645908027872
diversity,base,47830437,0.23791698911772832
diversity,base,35882355,0.3050965335915424
diversity,base,40953274,0.19229433955004982
diversity,base,46749968,0.3284029708747935
diversity,base,4835275,0.32178086759844604
diversity,base,18855839,0.2789719074013093
diversity,base,47582204,0.2672377405490328
diversity,base,42102510,0.2607494935403898
diversity,base,19185044,0.31879735182871655
diversity,base,15668819,0.26191093642965607
diversity,base,26172318,0.3072485869617296
diversity,base,8962072,0.24576492679952747
diversity,base,3021999,0.3072485869617296
diversity,base,3757573,0.34194545631289625
diversity,base,42505609,0.28820773422489787
diversity,base,11034062,0.2059761531503937
diversity,base,48433319,0.24864618610495007
diversity,base,49042888,0.2557452816332258
diversity,base,38395587,0.33918301800971684
diversity,base,22152052,0.2835291708141301
diversity,base,21996481,0.24134881372003175
diversity,base,13359210,0.24576492679952738
diversity,base,5807418,0.21787555116555768
diversity,base,48789012,0.22439371751921963
diversity,base,47789924,0.2768704623911051
diversity,base,5659917,0.1896005387662057
diversity,base,11328565,0.28123821612700994
diversity,base,5574559,0.18399746612029294
diversity,base,31907962,0.2677092794525965
diversity,base,47360583,0.22104631883755618
diversity,base,50056245,0.2306694422806853
diversity,base,17274551,0.16993960791293514
diversity,base,45447547,0.2657612121690402
diversity,base,46840375,0.21002655699209086
diversity,base,16723888,0.29690038553258635
diversity,base,49386123,0.26650199551471626
diversity,base,29328924,0.20394767481038917
diversity,base,49172222,0.2493915978262842
diversity,base,19991596,0.2038618934979926
diversity,base,7271928,0.24576492679952738
diversity,base,49437200,0.24977985789806162
diversity,base,10100719,0.27954880971214796
diversity,base,47601359,0.31768155847510315
diversity,base,34032171,0.24576492679952738
diversity,base,12682937,0.23177804209823755
diversity,base,40917761,0.33323347960121397
diversity,base,48945200,0.24361811647367348
diversity,base,9056913,0.2912797857147088
diversity,base,48917348,0.20678687942274168
diversity,base,9193431,0.26931371515023367
diversity,base,9079806,0.1937904546891804
diversity,base,19008038,0.2693143549042101
diversity,base,48084137,0.24137645941728664
diversity,base,30088517,0.25713444163540317
diversity,base,13588454,0.2149882133893245
diversity,base,49728631,0.3193731684982891
diversity,base,48099738,0.287272258664639
diversity,base,48901521,0.19255018778065608
diversity,base,35397990,0.30224530143384515
diversity,base,40168135,0.2150996835423257
diversity,base,7804779,0.2473008264735658
diversity,base,20709573,0.22183857300752646
diversity,base,12994142,0.24856308726218315
diversity,base,47657332,0.22973541684667992
diversity,base,23635890,0.2814559508034752
diversity,base,5708654,0.18322154925482967
diversity,base,30407668,0.26312664559966276
diversity,base,5797813,0.24016759596213702
diversity,base,49708998,0.28202081522616723
diversity,base,35590045,0.24700931708312976
diversity,base,4598216,0.2844854127321263
diversity,base,3942540,0.18322154925482967
diversity,base,25612895,0.2726631218946671
diversity,base,28701515,0.23773199767557782
diversity,base,2483204,0.2745691049052152
diversity,base,47230821,0.18322154925482967
diversity,base,48780760,0.22794809917323955
diversity,base,14600246,0.20278272633953937
diversity,base,26308132,0.21328885139160073
diversity,base,35803453,0.32101905811063175
diversity,base,3746198,0.22760959417447144
diversity,base,45952411,0.30910176164835074
diversity,base,5076545,0.13525900405585958
diversity,base,47143414,0.29824152047883695
diversity,base,49038302,0.27079380161710714
diversity,base,5611669,0.2886865462540676
diversity,base,47956801,0.23127135475845917
diversity,base,47373364,0.1912552846261561
diversity,base,38796629,0.14296440595972054
diversity,base,46821931,0.18749880257692908
diversity,base,47401535,0.2009104375670552
diversity,base,37772658,0.221895250769998
diversity,base,3285113,0.1398486196548417
diversity,base,37708179,0.18322154925482967
diversity,base,33588596,0.24674443866528634
diversity,base,47916623,0.1640200898819292
diversity,base,2848903,0.20975311451022793
diversity,base,47523746,0.13823805167233177
diversity,base,20439376,0.20803523639007968
diversity,base,7403188,0.22861663452244646
diversity,base,19828356,0.2744088141769218
diversity,base,48180357,0.28764047427678974
diversity,base,5544897,0.1979937987116218
diversity,base,48676684,0.26931371515023367
diversity,base,49675155,0.3006674053422783
diversity,base,42634123,0.29681625899768527
diversity,base,5289147,0.22861663452244646
diversity,base,47753382,0.2726631218946671
diversity,base,46442077,0.18668864559366105
diversity,base,8367541,0.2144455105713386
diversity,base,13424637,0.26696052440627166
diversity,base,32259021,0.2557787092555744
diversity,base,38905248,0.2672487374118225
diversity,base,39989510,0.26968767269220195
diversity,base,48927587,0.2660513204327215
diversity,base,11759015,0.2732156301076781
diversity,base,20337050,0.24887394542536515
diversity,base,2103133,0.2698508516286779
diversity,base,39145174,0.24856308726218315
diversity,base,20475690,0.28441259723707857
diversity,base,40630116,0.31021626522452017
diversity,base,34046471,0.28684419253288945
diversity,base,10227631,0.2808586203219237
diversity,base,2790162,0.09758343209075178
diversity,base,41273190,0.150425971017597
diversity,base,27749309,0.2657612121690402
diversity,base,18400806,0.2768704623911051
diversity,base,31290598,0.24056017082493591
diversity,base,49278353,0.2947840497830985
diversity,base,34166434,0.2991608167567859
diversity,base,22683431,0.18641469478079925
diversity,base,49193821,0.30687440854366943
diversity,base,6678765,0.2657612121690402
diversity,base,18546276,0.32524419325901766
diversity,base,49617132,0.24856308726218315
diversity,base,14264640,0.3237289243402084
diversity,base,46924835,0.21191699736577557
diversity,base,49961949,0.29311869143585084
diversity,base,45526422,0.2217598077794887
diversity,base,39509009,0.29910516385189034
diversity,base,7294800,0.20336553395821766
diversity,base,20943039,0.24631633159285646
diversity,base,4702582,0.3303940137145155
diversity,base,48957374,0.2161064688804606
diversity,base,14723220,0.27687046239110513
diversity,base,49886467,0.31174225567419694
diversity,base,8033115,0.2680742594370621
diversity,base,19192269,0.3091355076887805
diversity,base,38431806,0.31124050462005864
diversity,base,13919785,0.24856308726218312
diversity,base,10332096,0.18967652000771004
diversity,base,16994617,0.261042691436171
diversity,base,48726471,0.27769522951486353
diversity,base,49277146,0.3256020774052319
diversity,base,49259250,0.16093881053878872
diversity,base,2570626,0.1832215492548296
diversity,base,37730019,0.33060507406564227
diversity,base,48523686,0.24560959961826256
diversity,base,49615931,0.2583008128041725
diversity,base,30384214,0.26251498293221587
diversity,base,34201238,0.3239553525194182
diversity,base,36352824,0.21950604194759807
diversity,base,39165887,0.17739816071359912
diversity,base,2121662,0.22089197076824382
diversity,base,2615814,0.1912552846261561
diversity,base,2437832,0.28123821612700994
diversity,base,41905703,0.27117131176058207
diversity,base,46685281,0.17321104943998586
diversity,base,36398117,0.28296383100587286
diversity,base,2982191,0.16618032077017655
diversity,base,11145574,0.2479436654552211
diversity,base,49406873,0.26590547825339506
diversity,base,48552471,0.2466140121098518
diversity,base,3711549,0.2039493203828723
diversity,base,7832253,0.2513118717230986
diversity,base,34127429,0.26066035921601716
diversity,base,37436851,0.28876369313382283
diversity,base,39582106,0.24344476439197954
diversity,base,47265639,0.29628786065674906
diversity,base,22673054,0.16225563355801964
diversity,base,39676565,0.18506492036436817
diversity,base,48390200,0.2710199039882549
diversity,base,48487674,0.2620447610048876
diversity,base,3207280,0.1762606102936306
diversity,base,33399286,0.2859606977168123
diversity,base,17229663,0.24731604785901048
diversity,base,37335911,0.2814559508034752
diversity,base,46936954,0.22419309883705
diversity,base,48886137,0.20873277716372848
diversity,base,25474477,0.24344898916605173
diversity,base,50967444,0.3190754400492265
diversity,base,2657356,0.17195719100878523
diversity,base,48419494,0.1417521235540836
diversity,base,29176152,0.2444930588152817
diversity,base,7545732,0.31385983921849964
diversity,base,49706482,0.17005397791413598
diversity,base,40779164,0.2665444692629801
diversity,base,5364888,0.263038245988245
diversity,base,18195090,0.22566662584007466
diversity,base,24253961,0.24887394542536515
diversity,base,2601352,0.20969898334685427
diversity,base,46553411,0.24261299519068152
diversity,base,39250441,0.25127987048682376
diversity,base,9080585,0.2635388641632124
diversity,base,49165449,0.25123776543890414
diversity,base,2008052,0.17113354170701453
diversity,base,33819007,0.1868263269985538
diversity,base,22413776,0.3503597577249689
